Name,观影人数,Priority,种类,Seriousness,状态,Brief Desc,Out,完成日期,评级,短评
政坛混战,,❗️❗️❗️,电影,,Canceled,,Yes,,,
黑镜season6,,❗️❗️❗️,电视剧,Mild,Canceled,,Yes,,,
hideo kojima - connecting worlds,,❗️❗️❗️,纪录,Mild,Canceled,,Yes,,,
怪物Monster,,❗️❗️,动画,Serious,Canceled,浦泽直树,Yes,,,https://www.bilibili.com/video/BV14b411x7FQ/
机魂末世录Texhnolyze,,❗️❗️,动画,Mild,Canceled,,Yes,,,
大剑,,❗️❗️,动画,Mild,Canceled,,Yes,,,
壳中少女,,❗️❗️,动画,Mild,Canceled,,Yes,,,
夏娃的时间,,❗️❗️,动画,Mild,Canceled,,Yes,,,作画比较怪
BECK 摇滚新乐团,,❗️❗️,动画,Mild,Canceled,,Yes,,,作画怪
星空清理者,,❗️❗️,动画,Fun,Canceled,搞笑剧,Yes,,,https://www.bilibili.com/bangumi/media/md1996
咒术回战,,❗️❗️,动画,Fun,Canceled,,Yes,,,
高达Z,,❗️❗️,动画,,Canceled,,Yes,,,
新、福星小子,,❗️❗️,动画,,Canceled,,Yes,,,
蓝色监狱,,❗️❗️,动画,,Canceled,,Yes,,4 佳作,
pop子和pipi美的日常 第一季,,❗️❗️,动画,,Canceled,,Yes,,,
灵能百分百 第三季,,❗️❗️,动画,,Canceled,,Yes,,,
夏日重现,,❗️❗️,动画,,Canceled,,Yes,,,
犬王 - 汤浅政明,,❗️❗️,动画,,Canceled,,Yes,,,
Saving Private Ryan,,❗️❗️,电影,Serious,Canceled,,Yes,,,
https://en.wikipedia.org/wiki/The_Purple_Rose_of_Cairo,,❗️❗️,电影,Mild,Canceled,"In 1935 New Jersey, a movie character walks off the screen and into the real world.",Yes,,,wody allen
Anchorman 2,,❗️❗️,电影,Fun,Canceled,,Yes,,,
Stillwater,,❗️❗️,电影,,Canceled,,Yes,,,
无问西东,,❗️❗️,电影,,Canceled,,Yes,,,
Maniac,,❗️❗️,电视剧,Mild,Canceled,,Yes,,,
Blame！,,❗️❗️,漫画,,Canceled,,Yes,,5 值得再看一遍,
伊藤润二系列,,❗️❗️,漫画,,Canceled,,Yes,,,
青春巧克力,,❗️❗️,漫画,,Canceled,,Yes,,4 佳作,
攻壳机动队,,❗️❗️,漫画,,Canceled,,Yes,,,
Disney Illusion Island,,❗️❗️,游戏,Fun,Canceled,,Yes,,,
星之卡比 全收集解说,,❗️❗️,游戏,,Canceled,,Yes,,3 及格,
How to Learn Everything about Maison Margiela,,❗️❗️,纪录,,Canceled,,Yes,,,
